,DBC,TIP,TLT,VEA,VNQ,VNQI,VTI,VWO
2001-06-08,,,,,,,116.4,
2001-06-15,,,,,,,111.3,
2001-06-22,,,,,,,112.3,
2001-06-29,,,,,,,113.0,
2001-07-06,,,,,,,109.0,
2001-07-13,,,,,,,111.5,
2001-07-20,,,,,,,111.0,
2001-07-27,,,,,,,110.5,
2001-08-03,,,,,,,111.3,
2001-08-10,,,,,,,109.0,
2001-08-17,,,,,,,106.7,
2001-08-24,,,,,,,108.7,
2001-08-31,,,,,,,104.4,
2001-09-07,,,,,,,99.5,
2001-09-10,,,,,,,100.3,
2001-09-21,,,,,,,88.55,
2001-09-28,,,,,,,94.95,
2001-10-05,,,,,,,97.3,
2001-10-12,,,,,,,99.33,
2001-10-19,,,,,,,97.76,
2001-10-26,,,,,,,100.7,
2001-11-02,,,,,,,99.1,
2001-11-09,,,,,,,102.1,
2001-11-16,,,,,,,104.0,
2001-11-23,,,,,,,104.9,
2001-11-30,,,,,,,104.3,
2001-12-07,,,,,,,107.1,
2001-12-14,,,,,,,103.6,
2001-12-21,,,,,,,105.6,
2001-12-28,,,,,,,106.9,
2002-01-04,,,,,,,108.1,
2002-01-11,,,,,,,105.8,
2002-01-18,,,,,,,104.0,
2002-01-25,,,,,,,104.7,
2002-02-01,,,,,,,103.9,
2002-02-08,,,,,,,101.3,
2002-02-15,,,,,,,102.2,
2002-02-22,,,,,,,100.6,
2002-03-01,,,,,,,104.7,
2002-03-08,,,,,,,107.9,
2002-03-15,,,,,,,107.9,
2002-03-22,,,,,,,106.8,
2002-03-28,,,,,,,106.1,
2002-04-05,,,,,,,104.5,
2002-04-12,,,,,,,103.9,
2002-04-19,,,,,,,105.2,
2002-04-26,,,,,,,100.6,
2002-05-03,,,,,,,100.8,
2002-05-10,,,,,,,99.0,
2002-05-17,,,,,,,103.7,
2002-05-24,,,,,,,101.4,
2002-05-31,,,,,,,99.95,
2002-06-07,,,,,,,96.71,
2002-06-14,,,,,,,94.48,
2002-06-21,,,,,,,93.01,
2002-06-28,,,,,,,92.8,
